,PDB,Updated
0,1AB2,orig
1,1OPL,orig
2,1OPL,orig
3,2ABL,orig
4,2FO0,orig
5,3K2M,orig
6,3K2M,orig
7,3T04,orig
8,3UYO,orig
9,4XEY,orig
10,5DC0,orig
11,5DC4,orig
12,5DC9,orig
13,5MO4,orig
14,6AMV,orig
15,6AMW,orig
16,2ECD,orig
17,4EIH,orig
18,2EKX,orig
19,2GE9,orig
20,3CXL,orig
21,1XA6,orig
22,1JU5,orig
23,2DVJ,orig
24,2EYV,orig
25,2EYY,orig
26,2EYZ,orig
27,2EO3,orig
28,2LQN,orig
29,2LQW,orig
30,3EAC,orig
31,3EAZ,orig
32,2KK6,orig
33,6KC4,orig
34,6KC4,orig
35,6KC4,orig
36,6KC4,orig
37,6KC4,orig
38,6KC4,orig
39,1WQU,orig
40,2DCR,orig
41,3BKB,orig
42,3CBL,orig
43,3CD3,orig
44,4E93,orig
45,6JMF,orig
46,1AOT,orig
47,1AOU,orig
48,1G83,orig
49,1G83,orig
50,2MQI,orig
51,2MRJ,orig
52,2MRK,orig
53,4U17,orig
54,4U17,orig
55,4U17,orig
56,4U1P,orig
57,5GJH,orig
58,5GJH,orig
59,1NRV,orig
60,1NRV,orig
61,2AUG,orig
62,2AUG,orig
63,1BM2,orig
64,1BMB,orig
65,1CJ1,orig
66,1CJ1,orig
67,1CJ1,orig
68,1CJ1,orig
69,1CJ1,orig
70,1CJ1,orig
71,1CJ1,orig
72,1CJ1,orig
73,1CJ1,orig
74,1CJ1,orig
75,1CJ1,orig
76,1CJ1,orig
77,1FHS,orig
78,1FYR,orig
79,1FYR,orig
80,1FYR,orig
81,1FYR,orig
82,1GHU,orig
83,1GRI,orig
84,1GRI,orig
85,1JYQ,orig
86,1JYQ,orig
87,1JYR,orig
88,1JYU,orig
89,1QG1,orig
90,1TZE,orig
91,1X0N,orig
92,1ZFP,orig
93,2AOA,orig
94,2AOA,orig
95,2AOB,orig
96,2AOB,orig
97,2AOB,orig
98,2AOB,orig
99,2H46,orig
100,2H5K,orig
101,2H5K,orig
102,2HUW,orig
103,2HUW,orig
104,3C7I,orig
105,3IMD,orig
106,3IMD,orig
107,3IMJ,orig
108,3IMJ,orig
109,3IN7,orig
110,3IN7,orig
111,3IN8,orig
112,3KFJ,orig
113,3MXC,orig
114,3MXY,orig
115,3N7Y,orig
116,3N7Y,orig
117,3N7Y,orig
118,3N84,orig
119,3N84,orig
120,3N84,orig
121,3N84,orig
122,3N84,orig
123,3N84,orig
124,3N8M,orig
125,3OV1,orig
126,3OVE,orig
127,3S8L,orig
128,3S8N,orig
129,3S8O,orig
130,3WA4,orig
131,4P9V,orig
132,4P9Z,orig
133,5CDW,orig
134,5CDW,orig
135,5CDW,orig
136,5CDW,orig
137,5CDW,orig
138,5CDW,orig
139,5CDW,orig
140,5CDW,orig
141,5CDW,orig
142,5CDW,orig
143,5CDW,orig
144,5CDW,orig
145,5CDW,orig
146,5CDW,orig
147,5CDW,orig
148,5CDW,orig
149,6ICG,orig
150,6ICG,orig
151,6ICH,orig
152,1MW4,orig
153,2L4K,orig
154,2QMS,orig
155,2QMS,orig
156,2QMS,orig
157,2QMS,orig
158,3PQZ,orig
159,3PQZ,orig
160,3PQZ,orig
161,3PQZ,orig
162,4WWQ,orig
163,4WWQ,orig
164,4X6S,orig
165,4X6S,orig
166,5D0J,orig
167,5D0J,orig
168,5D0J,orig
169,5D0J,orig
170,5EEL,orig
171,5EEL,orig
172,5EEL,orig
173,5EEL,orig
174,5EEL,orig
175,5EEL,orig
176,5EEQ,orig
177,5EEQ,orig
178,5TYI,orig
179,5TYI,orig
180,5TYI,orig
181,5TYI,orig
182,5U06,orig
183,5U06,orig
184,5U06,orig
185,5U06,orig
186,5U1Q,orig
187,5U1Q,orig
188,5U1Q,orig
189,5U1Q,orig
190,1AD5,orig
191,1AD5,orig
192,1QCF,orig
193,2C0I,orig
194,2C0I,orig
195,2C0O,orig
196,2C0O,orig
197,2C0T,orig
198,2C0T,orig
199,2HCK,orig
200,2HCK,orig
201,3HCK,orig
202,3NHN,orig
203,3VRY,orig
204,3VRY,orig
205,3VRZ,orig
206,3VRZ,orig
207,3VS0,orig
208,3VS0,orig
209,3VS1,orig
210,3VS1,orig
211,3VS2,orig
212,3VS2,orig
213,3VS3,orig
214,3VS3,orig
215,3VS4,orig
216,3VS4,orig
217,3VS5,orig
218,3VS5,orig
219,3VS6,orig
220,3VS6,orig
221,3VS7,orig
222,3VS7,orig
223,4LUD,orig
224,4LUD,orig
225,4LUE,orig
226,4LUE,orig
227,4U5W,orig
228,4U5W,orig
229,5H09,orig
230,5H0B,orig
231,5H0E,orig
232,5H0G,orig
233,5H0H,orig
234,2CS0,orig
235,2YSX,orig
236,2MK2,orig
237,4Z32,orig
238,4Z32,orig
239,4Z32,orig
240,4Z32,orig
241,4Z32,orig
242,4Z32,orig
243,4Z32,orig
244,6E2P,orig
245,6E2P,orig
246,6E2Q,orig
247,6E2Q,orig
248,6E2Q,orig
249,6E2Q,orig
250,1BHF,orig
251,1BHH,orig
252,1BHH,orig
253,1CWD,orig
254,1CWE,orig
255,1CWE,orig
256,1FBZ,orig
257,1FBZ,orig
258,1IJR,orig
259,1LCJ,orig
260,1LCK,orig
261,1LKK,orig
262,1LKL,orig
263,1X27,orig
264,1X27,orig
265,1X27,orig
266,1X27,orig
267,1X27,orig
268,1X27,orig
269,4D8K,orig
270,5MTM,orig
271,5MTN,orig
