,UniProt entry,UniProt residues,PDB ID,PDB chain ID,PDB residues,Category,Gene name,Species,Res_start,Res_stop,Uniprot_ID
0,3BP2_HUMAN,458 - 538,2CR4,A,20 - 100,SigReg,SH3BP2,HUMAN,20,100,P78314
1,ABL1_HUMAN,127 - 202,1AB2,A,11 - 86,Kinases,ABL1,HUMAN,11,86,P00519
2,ABL1_HUMAN,127 - 202,1OPL,A,146 - 221,Kinases,ABL1,HUMAN,146,221,P00519
3,ABL1_HUMAN,127 – 202,1OPL,B,146 - 221,Kinases,ABL1,HUMAN,146,221,P00519
4,ABL1_HUMAN,127 – 202,2ABL,A,146 - 221,Kinases,ABL1,HUMAN,146,221,P00519
5,ABL1_HUMAN,127 – 202,2FO0,A,146 - 221,Kinases,ABL1,HUMAN,146,221,P00519
6,ABL1_HUMAN,127 – 202,3K2M,A,146 - 221,Kinases,ABL1,HUMAN,146,221,P00519
7,ABL1_HUMAN,127 – 202,3K2M,B,146 - 221,Kinases,ABL1,HUMAN,146,221,P00519
8,ABL1_HUMAN,127 – 202,3T04,A,146 - 221,Kinases,ABL1,HUMAN,146,221,P00519
9,ABL1_HUMAN,127 – 202,3UYO,A,146 - 221,Kinases,ABL1,HUMAN,146,221,P00519
10,ABL1_HUMAN,127 – 202,4XEY,B,146 - 221,Kinases,ABL1,HUMAN,146,221,P00519
11,ABL1_HUMAN,127 – 202,5DC0,B,146 - 221,Kinases,ABL1,HUMAN,146,221,P00519
12,ABL1_HUMAN,127 – 202,5DC4,A,146 - 221,Kinases,ABL1,HUMAN,146,221,P00519
13,ABL1_HUMAN,127 – 202,5DC9,A,146 - 221,Kinases,ABL1,HUMAN,146,221,P00519
14,ABL1_HUMAN,127 – 202,5MO4,A,146 - 221,Kinases,ABL1,HUMAN,146,221,P00519
15,ABL1_HUMAN,127 – 202,6AMV,A,146 - 221,Kinases,ABL1,HUMAN,146,221,P00519
16,ABL1_HUMAN,127 – 202,6AMW,A,146 - 221,Kinases,ABL1,HUMAN,146,221,P00519
17,ABL2_HUMAN,173 - 248,2ECD,A,18 - 93,Kinases,ABL2,HUMAN,18,93,P42684
18,ABL2_HUMAN,173 - 248,4EIH,A,173 - 248,Kinases,ABL2,HUMAN,173,248,P42684
19,BMX_HUMAN,296 - 377,2EKX,A,13 - 94,Kinases,BMX,HUMAN,13,94,P51813
20,BTK_HUMAN,281 - 362,2GE9,A,12 - 93,Kinases,BTK,HUMAN,12,93,Q06187
21,CHIN_HUMAN,50 - 119,3CXL,A,50 - 119,Small_GTPase_sig,CHN1,HUMAN,50,119,P15882
22,CHIO_HUMAN,60 - 129,1XA6,A,58 - 127,Small_GTPase_sig,CHN2,HUMAN,58,127,P52757
23,CRK_HUMAN,13 - 104,1JU5,A,13 - 104,Adaptors,CRK,HUMAN,13,104,P46108
24,CRK_HUMAN,13 - 104,2DVJ,A,13 - 104,Adaptors,CRK,HUMAN,13,104,P46108
25,CRK_HUMAN,13 - 104,2EYV,A,13 - 104,Adaptors,CRK,HUMAN,13,104,P46108
26,CRK_HUMAN,13 - 104,2EYY,A,13 - 104,Adaptors,CRK,HUMAN,13,104,P46108
27,CRK_HUMAN,13 - 104,2EYZ,A,13 - 104,Adaptors,CRK,HUMAN,13,104,P46108
28,CRKL_HUMAN,14 - 88,2EO3,A,21 - 95,Adaptors,CRKL,HUMAN,21,95,P46109
29,CRKL_HUMAN,15 - 88,2LQN,A,14 - 88,Adaptors,CRKL,HUMAN,14,88,P46109
30,CRKL_HUMAN,16 - 88,2LQW,A,14 - 88,Adaptors,CRKL,HUMAN,14,88,P46109
31,CSK_HUMAN,82 - 156,3EAC,A,82 - 156,Kinases,CSK,HUMAN,82,156,P41240
32,CSK_HUMAN,83 - 156,3EAZ,A,82 - 156,Kinases,CSK,HUMAN,82,156,P41240
33,FER_HUMAN,460 - 531,2KK6,A,19 - 90,Kinases,FER,HUMAN,19,90,P16591
34,FER_HUMAN,460 - 531,6KC4,A,460 - 531,Kinases,FER,HUMAN,460,531,P16591
35,FER_HUMAN,460 - 531,6KC4,C,460 - 531,Kinases,FER,HUMAN,460,531,P16591
36,FER_HUMAN,460 - 531,6KC4,E,460 - 531,Kinases,FER,HUMAN,460,531,P16591
37,FER_HUMAN,460 - 531,6KC4,G,460 - 531,Kinases,FER,HUMAN,460,531,P16591
38,FER_HUMAN,460 - 531,6KC4,I,460 - 531,Kinases,FER,HUMAN,460,531,P16591
39,FER_HUMAN,460 - 531,6KC4,K,460 - 531,Kinases,FER,HUMAN,460,531,P16591
40,FES_HUMAN,460 - 530,1WQU,A,18 - 88,Kinases,FES,HUMAN,18,88,P07332
41,FES_HUMAN,460 - 530,2DCR,A,18 - 88,Kinases,FES,HUMAN,18,88,P07332
42,FES_HUMAN,460 - 530,3BKB,A,460 - 530,Kinases,FES,HUMAN,460,530,P07332
43,FES_HUMAN,460 - 530,3CBL,A,460 - 530,Kinases,FES,HUMAN,460,530,P07332
44,FES_HUMAN,460 - 530,3CD3,A,460 - 530,Kinases,FES,HUMAN,460,530,P07332
45,FES_HUMAN,460 - 530,4E93,A,460 - 530,Kinases,FES,HUMAN,460,530,P07332
46,FES_HUMAN,460 - 530,6JMF,A,460 - 530,Kinases,FES,HUMAN,460,530,P07332
47,FYN_HUMAN,149 - 231,1AOT,F,7 - 89,Kinases,FYN,HUMAN,7,89,P06241
48,FYN_HUMAN,149 - 231,1AOU,F,7 - 89,Kinases,FYN,HUMAN,7,89,P06241
49,FYN_HUMAN,149 - 231,1G83,A,149 - 231,Kinases,FYN,HUMAN,149,231,P06241
50,FYN_HUMAN,149 - 231,1G83,B,149 - 231,Kinases,FYN,HUMAN,149,231,P06241
